id,name,salary_from,salary_to,currency,published_at,archived,url,requirement,responsibility
93353083,Тестировщик комфорта квартир,350000,450000,RUR,2024-02-16T14:58:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93353083,"Занимать активную жизненную позицию, уметь активно танцевать и громко петь. Обладать навыками коммуникации, чтобы налаживать добрососедские отношения. Обладать системным мышлением...","Оценивать вид из окна: встречать рассветы на кухне, и провожать алые закаты в спальне. Оценивать инфраструктуру района: ежедневно ходить на..."
92223756,Удаленный диспетчер чатов (в Яндекс),30000,44000,RUR,2024-01-25T17:37:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=92223756,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. 
id,name,salary_from,salary_to,currency,published_at,archived,url,requirement,responsibility
93353083,Тестировщик комфорта квартир,350000,450000,RUR,2024-02-16T14:58:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93353083,"Занимать активную жизненную позицию, уметь активно танцевать и громко петь. Обладать навыками коммуникации, чтобы налаживать добрососедские отношения. Обладать системным мышлением...","Оценивать вид из окна: встречать рассветы на кухне, и провожать алые закаты в спальне. Оценивать инфраструктуру района: ежедневно ходить на..."
92223756,Удаленный диспетчер чатов (в Яндекс),30000,44000,RUR,2024-01-25T17:37:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=92223756,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. 
93353083,Тестировщик комфорта квартир,350000,450000,RUR,2024-02-16T14:58:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93353083,"Занимать активную жизненную позицию, уметь активно танцевать и громко петь. Обладать навыками коммуникации, чтобы налаживать добрососедские отношения. Обладать системным мышлением...","Оценивать вид из окна: встречать рассветы на кухне, и провожать алые закаты в спальне. Оценивать инфраструктуру района: ежедневно ходить на..."
92223756,Удаленный диспетчер чатов (в Яндекс),30000,44000,RUR,2024-01-25T17:37:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=92223756,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. 
110325178,Junior Developer,200000,200000,KZT,2024-11-07T14:51:09+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110325178,"Знание <highlighttext>Python</highlighttext>. Умение работать в команде. Навыки верстки (HTML, CSS). Готовность быстро учиться и выполнять черновую работу.","Сервис по набору подписчиков. Мы разработали инструмент для воронок, проверки подписки и выдачи подарков, который помогает блогерам увеличивать аудиторию. "
108858682,Web-программист - стажер,0,0,0,2024-10-18T15:33:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=108858682,"Знать теорию тестирования, что такое тест планы, чек листы и протокол тестирования, свободно владеть ЯП <highlighttext>Python</highlighttext>, быть приспособленным к монотонной...",Как правильно работать с git-ом в команде. Писать автотесты на базе Selenium/<highlighttext>Python</highlighttext> (тестировщик). Создавать web-дизайны для реальных...
110397098,Junior+ Python разработчик,70000,120000,RUR,2024-11-08T11:12:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110397098,"Уверенные знания <highlighttext>Python</highlighttext> (FastAPI). Опыт работы с: Асинхронностью. PostgreSQL. Умение работать с Docker, понимание что такое контейнеры. Опыт с GitLab. ",Разработка и поддержка новых функциональных модулей системы. Интеграция с внешними API сторонних систем. Оптимизация работы микросервисов и базы данных. 
